student_code,first_name,last_name,gender,birth_date,city,study_hours_per_week,parent_education,snapshot_date
STU0001,Tom,Robert,F,2005-10-09,Lyon,5,primary,2025-02-01
STU0002,Yann,Vincent,F,2006-08-28,Toulouse,2,primary,2025-02-01
STU0003,Farah,Leroy,F,2006-07-29,Lyon,10,graduate,2025-02-01
STU0004,Gabriel,David,M,2005-01-07,Lyon,10,higher,2025-02-01
STU0005,Hugo,Richard,F,2005-12-11,Paris,2,primary,2025-02-01
STU0006,Karim,Lefebvre,M,2005-02-14,Bordeaux,5,primary,2025-02-01
STU0007,Lou,Dubois,M,2006-10-06,Nice,10,higher,2025-02-01
STU0008,Rania,Durand,F,2005-02-16,Bordeaux,5,higher,2025-02-01
STU0009,Baptiste,Leroy,F,2006-01-25,Marseille,5,higher,2025-02-01
STU0010,Elias,Lefebvre,M,2005-08-03,Toulouse,5,primary,2025-02-01
STU0011,Sophie,Petit,F,2005-06-17,Toulouse,5,secondary,2025-02-01
STU0012,Yann,Laurent,F,2005-08-23,Paris,10,graduate,2025-02-01
STU0013,Hugo,Dubois,F,2006-08-04,Bordeaux,5,graduate,2025-02-01
STU0014,Lou,David,F,2005-09-29,Lyon,5,higher,2025-02-01
STU0015,Rania,Garcia,M,2006-01-06,Lyon,15,secondary,2025-02-01
STU0016,Paul,Bertrand,F,2005-02-18,Paris,2,secondary,2025-02-01
STU0017,Yann,Garcia,F,2006-01-30,Toulouse,5,graduate,2025-02-01
STU0018,Paul,Moreau,F,2006-11-28,Bordeaux,2,higher,2025-02-01
STU0019,Tom,Laurent,F,2005-10-28,Nice,2,primary,2025-02-01
STU0020,Hugo,Roux,F,2006-06-04,Paris,10,higher,2025-02-01
STU0021,Tom,Roux,F,2005-06-06,Marseille,10,primary,2025-02-01
STU0022,Sophie,Laurent,M,2005-01-20,Paris,15,higher,2025-02-01
STU0023,Gabriel,Bernard,F,2006-08-04,Paris,2,graduate,2025-02-01
STU0024,Baptiste,Vincent,F,2005-05-12,Bordeaux,5,secondary,2025-02-01
STU0025,Hugo,Roux,M,2005-08-05,Nice,10,secondary,2025-02-01
STU0026,Ines,Michel,M,2006-03-25,Nice,5,secondary,2025-02-01
STU0027,Gabriel,Dubois,M,2005-01-22,Toulouse,5,secondary,2025-02-01
STU0028,Adrien,Dubois,F,2005-08-23,Paris,15,higher,2025-02-01
STU0029,Baptiste,Roux,F,2005-10-13,Bordeaux,5,secondary,2025-02-01
STU0030,Rania,Fournier,M,2005-09-06,Toulouse,10,secondary,2025-02-01
STU0031,Camille,Robert,M,2005-12-29,Toulouse,5,primary,2025-02-01
STU0032,Yann,Robert,F,2006-02-17,Bordeaux,5,primary,2025-02-01
STU0033,Gabriel,Durand,F,2006-07-04,Toulouse,2,secondary,2025-02-01
STU0034,Hugo,David,F,2005-03-19,Toulouse,10,primary,2025-02-01
STU0035,Alice,Vincent,F,2005-04-06,Lyon,2,graduate,2025-02-01
STU0036,Oscar,Durand,M,2005-03-02,Lyon,5,graduate,2025-02-01
STU0037,Hugo,David,M,2006-03-10,Bordeaux,15,graduate,2025-02-01
STU0038,Diane,Durand,M,2005-08-11,Paris,2,primary,2025-02-01
STU0039,Jules,Bernard,F,2006-08-22,Toulouse,5,secondary,2025-02-01
STU0040,Alice,Roux,F,2005-07-10,Marseille,2,secondary,2025-02-01
STU0041,Lou,Robert,F,2006-08-16,Paris,5,primary,2025-02-01
STU0042,Manon,Fournier,M,2005-09-25,Lyon,10,higher,2025-02-01
STU0043,Gabriel,Moreau,M,2005-05-15,Bordeaux,10,graduate,2025-02-01
STU0044,Jules,Dubois,F,2006-04-15,Nice,15,primary,2025-02-01
STU0045,Baptiste,Vincent,F,2006-06-03,Marseille,2,higher,2025-02-01
STU0046,Baptiste,Leroy,M,2005-10-19,Toulouse,15,higher,2025-02-01
STU0047,Sophie,Roux,F,2006-11-15,Nice,5,primary,2025-02-01
STU0048,Diane,Moreau,F,2005-04-20,Bordeaux,5,higher,2025-02-01
STU0049,Ines,Durand,M,2005-07-28,Bordeaux,10,higher,2025-02-01
STU0050,Paul,Bertrand,M,2005-02-22,Paris,10,higher,2025-02-01
STU0051,Alice,Martin,M,2005-05-14,Bordeaux,15,secondary,2025-02-01
STU0052,Nadia,Vincent,M,2006-07-29,Paris,2,secondary,2025-02-01
STU0053,Quentin,Bernard,M,2006-08-20,Nice,2,secondary,2025-02-01
STU0054,Alice,Simon,M,2005-02-10,Marseille,5,secondary,2025-02-01
